SIGUN_CD,SIGUN_NM,STD_YM,CARD_PUBLCT_CNT,CARD_CHRGNG_AMT,CARD_USE_AMT,MOBILE_GIFTCERTF_USER_CNT,MOBILE_CHRGNG_AMT,MOBILE_USE_AMT,BRNHSTRM_GIFTCERTF_SALE_AMT,BRNHSTRM_GIFTCERTF_RETRVL_AMT
41170,안양시,2020-11,6979.0,8133476.0,7378897.0,0.0,0.0,0.0,1738960.0,1938110.0
41220,평택시,2020-11,5756.0,7080197.0,6311383.0,0.0,0.0,0.0,3801585.0,4129395.0
41390,시흥시,2020-11,0.0,0.0,0.0,5090.0,12683424.0,15587795.0,2008785.0,3289704.0
41480,파주시,2020-11,4857.0,7968702.0,7365277.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2020-11,3801.0,6387875.0,6024196.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2020-11,0.0,0.0,0.0,7891.0,20973906.0,19410629.0,0.0,0.0
41610,광주시,2020-11,3203.0,10205139.0,9821290.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2020-11,3119.0,7880494.0,7245906.0,0.0,0.0,0.0,0.0,0.0
41410,군포시,2020-11,3067.0,9813402.0,9495058.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2020-11,3461.0,8547934.0,9778813.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2020-11,2079.0,7498464.0,7135234.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2020-11,1664.0,3509422.0,3383709.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2020-11,1608.0,4167666.0,4331961.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2020-11,1650.0,4824203.0,4743637.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2020-11,2082.0,5662632.0,5453754.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2020-11,985.0,1684121.0,1573200.0,0.0,0.0,0.0,217900.0,303943.0
41430,의왕시,2020-11,2181.0,2232009.0,1970020.0,0.0,0.0,0.0,374066.0,343171.0
41830,양평군,2020-11,3737.0,6538877.0,5779551.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2020-11,1104.0,2454130.0,3167651.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2020-11,5296.0,1055921.0,922641.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2020-11,524.0,1014259.0,991877.0,0.0,0.0,0.0,141540.0,602190.0
41290,과천시,2020-11,981.0,2409712.0,2287637.0,0.0,0.0,0.0,643190.0,721820.0
41800,연천군,2020-11,371.0,716380.0,709171.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2020-12,11906.0,23074013.0,20287869.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2020-12,7511.0,8159264.0,13731511.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2020-12,8346.0,12873555.0,13692287.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2020-12,0.0,7484129.0,6270863.0,8049.0,8134960.0,11156254.0,3559425.0,6499020.0
41190,부천시,2020-12,8194.0,12533199.0,14362438.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2020-12,7830.0,34410971.0,30464911.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2020-12,3858.0,7370592.0,14147481.0,0.0,0.0,0.0,68410.0,1718685.0
41360,남양주시,2020-12,6795.0,14678545.0,12146070.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2020-12,8054.0,9778849.0,7978099.0,0.0,0.0,0.0,1425460.0,1534560.0
41220,평택시,2020-12,8414.0,8673424.0,7472808.0,0.0,0.0,0.0,4953025.0,4446415.0
41390,시흥시,2020-12,0.0,0.0,0.0,3503.0,1645022.0,6514604.0,0.0,1874141.0
41480,파주시,2020-12,5470.0,9775350.0,8328605.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2020-12,4888.0,6586938.0,6113738.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2020-12,0.0,0.0,0.0,8987.0,21015280.0,19166574.0,0.0,0.0
41610,광주시,2020-12,3635.0,11846680.0,10765924.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2020-12,3307.0,8118857.0,6991235.0,0.0,0.0,0.0,0.0,0.0
41410,군포시,2020-12,3564.0,11206381.0,9576097.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2020-12,3899.0,7453124.0,8355784.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2020-12,2711.0,9152554.0,8180029.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2020-12,2036.0,4690113.0,3738897.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2020-12,1726.0,4954730.0,4311818.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2020-12,2099.0,5865095.0,4754559.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2020-12,2158.0,6977812.0,6041206.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2020-12,2269.0,1754615.0,1574625.0,0.0,0.0,0.0,261735.0,146431.0
41430,의왕시,2020-12,2559.0,2823495.0,2209136.0,0.0,0.0,0.0,65179.0,254599.0
41830,양평군,2020-12,2074.0,4525305.0,5907339.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2020-12,1182.0,3067630.0,3017178.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2020-12,2279.0,1600360.0,1345105.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2020-12,579.0,1177615.0,1121896.0,0.0,0.0,0.0,190105.0,158030.0
41290,과천시,2020-12,781.0,1651913.0,2075858.0,0.0,0.0,0.0,373425.0,644840.0
41800,연천군,2020-12,365.0,835644.0,742695.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2021-01,19139.0,20073612.0,18991978.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2021-01,15728.0,15152425.0,15299152.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2021-01,16455.0,21857304.0,17042211.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2021-01,0.0,5184080.0,5690308.0,20318.0,24314066.0,16184461.0,11630605.0,6719390.0
41190,부천시,2021-01,13605.0,17389108.0,15270885.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2021-01,12936.0,32845088.0,31312763.0,0.0,0.0,0.0,0.0,0.0
41360,남양주시,2021-01,10347.0,9384739.0,11482739.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2021-01,10897.0,7045307.0,7526125.0,0.0,0.0,0.0,1037728.0,1076780.0
41220,평택시,2021-01,9449.0,6897027.0,7283404.0,0.0,0.0,0.0,4137880.0,3813405.0
41390,시흥시,2021-01,0.0,0.0,0.0,10203.0,20771091.0,15458752.0,3074378.0,1888487.0
41480,파주시,2021-01,7290.0,7299304.0,7823883.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2021-01,8162.0,5425432.0,5429189.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2021-01,0.0,0.0,0.0,5317.0,20578035.0,21310792.0,0.0,0.0
41610,광주시,2021-01,5028.0,9606261.0,10282394.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2021-01,5291.0,6346190.0,6811978.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2021-01,8208.0,22651240.0,18908118.0,0.0,0.0,0.0,2773315.0,2172880.0
41410,군포시,2021-01,4452.0,8951603.0,9831917.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2021-01,5036.0,16786656.0,12087623.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2021-01,3323.0,7185350.0,7671453.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2021-01,3694.0,2831340.0,3448906.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2021-01,3920.0,3582587.0,4081426.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2021-01,2715.0,4255590.0,4877310.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2021-01,3216.0,4602215.0,5456835.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2021-01,2145.0,1471569.0,1517904.0,0.0,0.0,0.0,295875.0,272244.0
41430,의왕시,2021-01,3820.0,2233364.0,2316505.0,0.0,0.0,0.0,251240.0,165740.0
41830,양평군,2021-01,1692.0,4616132.0,4771116.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2021-01,1615.0,2304987.0,2573363.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2021-01,1442.0,2146587.0,1370105.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2021-01,598.0,992759.0,1011708.0,0.0,0.0,0.0,120450.0,145020.0
41290,과천시,2021-01,1556.0,2509252.0,2307308.0,0.0,0.0,0.0,755495.0,663065.0
41800,연천군,2021-01,421.0,787564.0,713696.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2021-02,32993.0,22486684.0,16312959.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2021-02,24208.0,17652128.0,13760292.0,0.0,0.0,0.0,0.0,0.0
